codigo,nome
151,CURTIMENTO E OUTRAS PREPARAÇÕES DE COURO
152,FABRICAÇÃO DE ARTIGOS PARA VIAGEM E DE ARTEFATOS DIVERSOS DE COURO
153,FABRICAÇÃO DE CALÇADOS
154,"FABRICAÇÃO DE PARTES PARA CALÇADOS, DE QUALQUER MATERIAL"
161,DESDOBRAMENTO DE MADEIRA
162,"FABRICAÇÃO DE PRODUTOS DE MADEIRA, CORTIÇA E MATERIAL TRANÇADO, EXCETO MÓVEIS"
171,FABRICAÇÃO DE CELULOSE E OUTRAS PASTAS PARA A FABRICAÇÃO DE PAPEL
172,"FABRICAÇÃO DE PAPEL, CARTOLINA E PAPEL-CARTÃO"
173,"FABRICAÇÃO DE EMBALAGENS DE PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO"
174,"FABRICAÇÃO DE PRODUTOS DIVERSOS DE PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO"
181,ATIVIDADE DE IMPRESSÃO
182,SERVIÇOS DE PRÉ-IMPRESSÃO E ACABAMENTOS GRÁFICOS
183,REPRODUÇÃO DE MATERIAIS GRAVADOS EM QUALQUER SUPORTE
191,COQUERIAS
192,FABRICAÇÃO DE PRODUTOS DERIVADOS DO PETRÓLEO
193,FABRICAÇÃO DE BIOCOMBUSTÍVEIS
201,FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS
202,FABRICAÇÃO DE PRODUTOS QUÍMICOS ORGÂNICOS
203,FABRICAÇÃO DE RESINAS E ELASTÔMEROS
204,FABRICAÇÃO DE FIBRAS ARTIFICIAIS E SINTÉTICAS
205,FABRICAÇÃO DE DEFENSIVOS AGRÍCOLAS E DESINFESTANTES DOMISSANITÁRIOS
206,"FABRICAÇÃO DE SABÕES, DETERGENTES, PRODUTOS DE LIMPEZA, COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL"
207,"FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES, LACAS E PRODUTOS AFINS"
209,FABRICAÇÃO DE PRODUTOS E PREPARADOS QUÍMICOS DIVERSOS
211,FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS
212,FABRICAÇÃO DE PRODUTOS FARMACÊUTICOS
221,FABRICAÇÃO DE PRODUTOS DE BORRACHA
222,FABRICAÇÃO DE PRODUTOS DE MATERIAL PLÁSTICO
231,FABRICAÇÃO DE VIDRO E DE PRODUTOS DO VIDRO
232,FABRICAÇÃO DE CIMENTO
233,"FABRICAÇÃO DE ARTEFATOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES"
234,FABRICAÇÃO DE PRODUTOS CERÂMICOS
239,APARELHAMENTO DE PEDRAS E FABRICAÇÃO DE OUTROS PRODUTOS DE MINERAIS NÃO-METÁLICOS
241,PRODUÇÃO DE FERRO-GUSA E DE FERROLIGAS
242,SIDERURGIA
243,"PRODUÇÃO DE TUBOS DE AÇO, EXCETO TUBOS SEM COSTURA"
244,METALURGIA DOS METAIS NÃO-FERROSOS
245,FUNDIÇÃO
251,FABRICAÇÃO DE ESTRUTURAS METÁLICAS E OBRAS DE CALDEIRARIA PESADA
252,"FABRICAÇÃO DE TANQUES, RESERVATÓRIOS METÁLICOS E CALDEIRAS"
253,"FORJARIA, ESTAMPARIA, METALURGIA DO PÓ E SERVIÇOS DE TRATAMENTO DE METAIS"
254,"FABRICAÇÃO DE ARTIGOS DE CUTELARIA, DE SERRALHERIA E FERRAMENTAS"
255,"FABRICAÇÃO DE EQUIPAMENTO BÉLICO PESADO, ARMAS E MUNIÇÕES"
259,FABRICAÇÃO DE PRODUTOS DE METAL NÃO ESPECIFICADOS ANTERIORMENTE
261,FABRICAÇÃO DE COMPONENTES ELETRÔNICOS
262,FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E PERIFÉRICOS
263,FABRICAÇÃO DE EQUIPAMENTOS DE COMUNICAÇÃO
264,"FABRICAÇÃO DE APARELHOS DE RECEPÇÃO, REPRODUÇÃO, GRAVAÇÃO E AMPLIFICAÇÃO DE ÁUDIO E VÍDEO"
265,"FABRICAÇÃO DE APARELHOS E INSTRUMENTOS DE MEDIDA, TESTE E CONTROLE; CRONÔMETROS E RELÓGIOS"
266,FABRICAÇÃO DE APARELHOS ELETROMÉDICOS E ELETROTERAPÊUTICOS E EQUIPAMENTOS DE IRRADIAÇÃO
267,"FABRICAÇÃO DE EQUIPAMENTOS E INSTRUMENTOS ÓPTICOS, FOTOGRÁFICOS E CINEMATOGRÁFICOS"
268,"FABRICAÇÃO DE MÍDIAS VIRGENS, MAGNÉTICAS E ÓPTICAS"
271,"FABRICAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
272,"FABRICAÇÃO DE PILHAS, BATERIAS E ACUMULADORES ELÉTRICOS"
273,FABRICAÇÃO DE EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
274,FABRICAÇÃO DE LÂMPADAS E OUTROS EQUIPAMENTOS DE ILUMINAÇÃO
275,FABRICAÇÃO DE ELETRODOMÉSTICOS
279,FABRICAÇÃO DE EQUIPAMENTOS E APARELHOS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE
281,"FABRICAÇÃO DE MOTORES, BOMBAS, COMPRESSORES E EQUIPAMENTOS DE TRANSMISSÃO"
282,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS DE USO GERAL
283,FABRICAÇÃO DE TRATORES E DE MÁQUINAS E EQUIPAMENTOS PARA A AGRICULTURA E PECUÁRIA
284,FABRICAÇÃO DE MÁQUINAS-FERRAMENTA
285,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS DE USO NA EXTRAÇÃO MINERAL E NA CONSTRUÇÃO
286,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS DE USO INDUSTRIAL ESPECÍFICO
291,"FABRICAÇÃO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS"
292,FABRICAÇÃO DE CAMINHÕES E ÔNIBUS
293,"FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA VEÍCULOS AUTOMOTORES"
294,FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES
295,RECONDICIONAMENTO E RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES
301,CONSTRUÇÃO DE EMBARCAÇÕES
303,FABRICAÇÃO DE VEÍCULOS FERROVIÁRIOS
304,FABRICAÇÃO DE AERONAVES
305,FABRICAÇÃO DE VEÍCULOS MILITARES DE COMBATE
309,FABRICAÇÃO DE EQUIPAMENTOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE
310,FABRICAÇÃO DE MÓVEIS
321,"FABRICAÇÃO DE ARTIGOS DE JOALHERIA, BIJUTERIA E SEMELHANTES"
322,FABRICAÇÃO DE INSTRUMENTOS MUSICAIS
323,FABRICAÇÃO DE ARTEFATOS PARA PESCA E ESPORTE
324,FABRICAÇÃO DE BRINQUEDOS E JOGOS RECREATIVOS
325,FABRICAÇÃO DE INSTRUMENTOS E MATERIAIS PARA USO MÉDICO E ODONTOLÓGICO E DE ARTIGOS ÓPTICOS
329,FABRICAÇÃO DE PRODUTOS DIVERSOS
331,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS
332,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
351,"GERAÇÃO, TRANSMISSÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA"
352,PRODUÇÃO E DISTRIBUIÇÃO DE COMBUSTÍVEIS GASOSOS POR REDES URBANAS
353,"PRODUÇÃO E DISTRIBUIÇÃO DE VAPOR, ÁGUA QUENTE E AR CONDICIONADO"
360,"CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA"
370,ESGOTO E ATIVIDADES RELACIONADAS
381,COLETA DE RESÍDUOS
382,TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS
383,RECUPERAÇÃO DE MATERIAIS
390,DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS
411,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS
412,CONSTRUÇÃO DE EDIFÍCIOS
421,"CONSTRUÇÃO DE RODOVIAS, FERROVIAS, OBRAS URBANAS E OBRAS-DE-ARTE ESPECIAIS"
422,"OBRAS DE INFRA-ESTRUTURA PARA ENERGIA ELÉTRICA, TELECOMUNICAÇÕES, ÁGUA, ESGOTO E TRANSPORTE POR DUTOS"
429,CONSTRUÇÃO DE OUTRAS OBRAS DE INFRA-ESTRUTURA
431,DEMOLIÇÃO E PREPARAÇÃO DO TERRENO
432,"INSTALAÇÕES ELÉTRICAS, HIDRÁULICAS E OUTRAS INSTALAÇÕES EM CONSTRUÇÕES"
433,OBRAS DE ACABAMENTO
439,OUTROS SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
451,COMÉRCIO DE VEÍCULOS AUTOMOTORES
452,MANUTENÇÃO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES
453,COMÉRCIO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES
454,"COMÉRCIO, MANUTENÇÃO E REPARAÇÃO DE MOTOCICLETAS, PEÇAS E ACESSÓRIOS"
461,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO, EXCETO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS"
462,COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS
463,"COMÉRCIO ATACADISTA ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO"
464,COMÉRCIO ATACADISTA DE PRODUTOS DE CONSUMO NÃO-ALIMENTAR
465,COMÉRCIO ATACADISTA DE EQUIPAMENTOS E PRODUTOS DE TECNOLOGIAS DE INFORMAÇÃO E COMUNICAÇÃO
466,"COMÉRCIO ATACADISTA DE MÁQUINAS, APARELHOS E EQUIPAMENTOS, EXCETO DE TECNOLOGIAS DE INFORMAÇÃO E COMUNICAÇÃO"
467,"COMÉRCIO ATACADISTA DE MADEIRA, FERRAGENS, FERRAMENTAS, MATERIAL ELÉTRICO E MATERIAL DE CONSTRUÇÃO"
468,COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS
469,COMÉRCIO ATACADISTA NÃO-ESPECIALIZADO
471,COMÉRCIO VAREJISTA NÃO-ESPECIALIZADO
472,"COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO"
473,COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES
474,COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO
475,COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO
476,"COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS"
477,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS"
478,COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
491,TRANSPORTE FERROVIÁRIO E METROFERROVIÁRIO
492,TRANSPORTE RODOVIÁRIO DE PASSAGEIROS
493,TRANSPORTE RODOVIÁRIO DE CARGA
494,TRANSPORTE DUTOVIÁRIO
495,"TRENS TURÍSTICOS, TELEFÉRICOS E SIMILARES"
501,TRANSPORTE MARÍTIMO DE CABOTAGEM E LONGO CURSO
502,TRANSPORTE POR NAVEGAÇÃO INTERIOR
503,NAVEGAÇÃO DE APOIO
509,OUTROS TRANSPORTES AQUAVIÁRIOS
511,TRANSPORTE AÉREO DE PASSAGEIROS
512,TRANSPORTE AÉREO DE CARGA
513,TRANSPORTE ESPACIAL
521,"ARMAZENAMENTO, CARGA E DESCARGA"
522,ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES
523,ATIVIDADES AUXILIARES DOS TRANSPORTES AQUAVIÁRIOS
524,ATIVIDADES AUXILIARES DOS TRANSPORTES AÉREOS
525,ATIVIDADES RELACIONADAS À ORGANIZAÇÃO DO TRANSPORTE DE CARGA
531,ATIVIDADES DE CORREIO
532,ATIVIDADES DE MALOTE E DE ENTREGA
551,HOTÉIS E SIMILARES
559,OUTROS TIPOS DE ALOJAMENTO NÃO ESPECIFICADOS ANTERIORMENTE
561,RESTAURANTES E OUTROS SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS
562,"SERVIÇOS DE CATERING, BUFÊ E OUTROS SERVIÇOS DE COMIDA PREPARADA"
581,"EDIÇÃO DE LIVROS, JORNAIS, REVISTAS E OUTRAS ATIVIDADES DE EDIÇÃO"
582,"EDIÇÃO INTEGRADA À IMPRESSÃO DE LIVROS, JORNAIS, REVISTAS E OUTRAS PUBLICAÇÕES"
591,"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO"
592,ATIVIDADES DE GRAVAÇÃO DE SOM E DE EDIÇÃO DE MÚSICA
601,ATIVIDADES DE RÁDIO
602,ATIVIDADES DE TELEVISÃO
611,TELECOMUNICAÇÕES POR FIO
612,TELECOMUNICAÇÕES SEM FIO
613,TELECOMUNICAÇÕES POR SATÉLITE
614,OPERADORAS DE TELEVISÃO POR ASSINATURA
619,OUTRAS ATIVIDADES DE TELECOMUNICAÇÕES
620,ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
631,"TRATAMENTO DE DADOS, HOSPEDAGEM NA INTERNET E OUTRAS ATIVIDADES RELACIONADAS"
639,OUTRAS ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
641,BANCO CENTRAL
642,INTERMEDIAÇÃO MONETÁRIA - DEPÓSITOS À VISTA
643,INTERMEDIAÇÃO NÃO-MONETÁRIA - OUTROS INSTRUMENTOS DE CAPTAÇÃO
644,ARRENDAMENTO MERCANTIL
645,SOCIEDADES DE CAPITALIZAÇÃO
646,ATIVIDADES DE SOCIEDADES DE PARTICIPAÇÃO
647,FUNDOS DE INVESTIMENTO
649,ATIVIDADES DE SERVIÇOS FINANCEIROS NÃO ESPECIFICADAS ANTERIORMENTE
651,SEGUROS DE VIDA E NÃO-VIDA
652,SEGUROS-SAÚDE
653,RESSEGUROS
654,PREVIDÊNCIA COMPLEMENTAR
655,PLANOS DE SAÚDE
661,ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS
662,"ATIVIDADES AUXILIARES DOS SEGUROS, DA PREVIDÊNCIA COMPLEMENTAR E DOS PLANOS DE SAÚDE"
663,ATIVIDADES DE ADMINISTRAÇÃO DE FUNDOS POR CONTRATO OU COMISSÃO
681,ATIVIDADES IMOBILIÁRIAS DE IMÓVEIS PRÓPRIOS
682,ATIVIDADES IMOBILIÁRIAS POR CONTRATO OU COMISSÃO
691,ATIVIDADES JURÍDICAS
692,"ATIVIDADES DE CONTABILIDADE, CONSULTORIA E AUDITORIA CONTÁBIL E TRIBUTÁRIA"
702,ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL
711,SERVIÇOS DE ARQUITETURA E ENGENHARIA E ATIVIDADES TÉCNICAS RELACIONADAS
712,TESTES E ANÁLISES TÉCNICAS
721,PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIÊNCIAS FÍSICAS E NATURAIS
722,PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIÊNCIAS SOCIAIS E HUMANAS
731,PUBLICIDADE
732,PESQUISAS DE MERCADO E DE OPINIÃO PÚBLICA
741,DESIGN E DECORAÇÃO DE INTERIORES
742,ATIVIDADES FOTOGRÁFICAS E SIMILARES
749,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS NÃO ESPECIFICADAS ANTERIORMENTE"
750,ATIVIDADES VETERINÁRIAS
771,LOCAÇÃO DE MEIOS DE TRANSPORTE SEM CONDUTOR
772,ALUGUEL DE OBJETOS PESSOAIS E DOMÉSTICOS
773,ALUGUEL DE MÁQUINAS E EQUIPAMENTOS SEM OPERADOR
774,GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS
781,SELEÇÃO E AGENCIAMENTO DE MÃO-DE-OBRA
782,LOCAÇÃO DE MÃO-DE-OBRA TEMPORÁRIA
783,FORNECIMENTO E GESTÃO DE RECURSOS HUMANOS PARA TERCEIROS
791,AGÊNCIAS DE VIAGENS E OPERADORES TURÍSTICOS
799,SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE
801,"ATIVIDADES DE VIGILÂNCIA, SEGURANÇA PRIVADA E TRANSPORTE DE VALORES"
802,ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURANÇA
803,ATIVIDADES DE INVESTIGAÇÃO PARTICULAR
811,SERVIÇOS COMBINADOS PARA APOIO A EDIFÍCIOS
812,ATIVIDADES DE LIMPEZA
813,ATIVIDADES PAISAGÍSTICAS
821,SERVIÇOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO
822,ATIVIDADES DE TELEATENDIMENTO
823,"ATIVIDADES DE ORGANIZAÇÃO DE EVENTOS, EXCETO CULTURAIS E ESPORTIVOS"
829,OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS
841,ADMINISTRAÇÃO DO ESTADO E DA POLÍTICA ECONÔMICA E SOCIAL
842,SERVIÇOS COLETIVOS PRESTADOS PELA ADMINISTRAÇÃO PÚBLICA
843,SEGURIDADE SOCIAL OBRIGATÓRIA
851,EDUCAÇÃO INFANTIL E ENSINO FUNDAMENTAL
852,ENSINO MÉDIO
853,EDUCAÇÃO SUPERIOR
854,EDUCAÇÃO PROFISSIONAL DE NÍVEL TÉCNICO E TECNOLÓGICO
855,ATIVIDADES DE APOIO À EDUCAÇÃO
859,OUTRAS ATIVIDADES DE ENSINO
861,ATIVIDADES DE ATENDIMENTO HOSPITALAR
862,SERVIÇOS MÓVEIS DE ATENDIMENTO A URGÊNCIAS E DE REMOÇÃO DE PACIENTES
863,ATIVIDADES DE ATENÇÃO AMBULATORIAL EXECUTADAS POR MÉDICOS E ODONTÓLOGOS
864,ATIVIDADES DE SERVIÇOS DE COMPLEMENTAÇÃO DIAGNÓSTICA E TERAPÊUTICA
865,"ATIVIDADES DE PROFISSIONAIS DA ÁREA DE SAÚDE, EXCETO MÉDICOS E ODONTÓLOGOS"
866,ATIVIDADES DE APOIO À GESTÃO DE SAÚDE
869,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA NÃO ESPECIFICADAS ANTERIORMENTE
871,"ATIVIDADES DE ASSISTÊNCIA A IDOSOS, DEFICIENTES FÍSICOS, IMUNODEPRIMIDOS E CONVALESCENTES, E DE INFRA-ESTRUTURA E APOIO A PACIENTES PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES"
872,"ATIVIDADES DE ASSISTÊNCIA PSICOSSOCIAL E À SAÚDE A PORTADORES DE DISTÚRBIOS PSÍQUICOS, DEFICIÊNCIA MENTAL E DEPENDÊNCIA QUÍMICA"
873,ATIVIDADES DE ASSISTÊNCIA SOCIAL PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES
880,SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO
900,"ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS"
910,ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL
920,ATIVIDADES DE EXPLORAÇÃO DE JOGOS DE AZAR E APOSTAS
931,ATIVIDADES ESPORTIVAS
932,ATIVIDADES DE RECREAÇÃO E LAZER
941,"ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS PATRONAIS, EMPRESARIAIS E PROFISSIONAIS"
942,ATIVIDADES DE ORGANIZAÇÕES SINDICAIS
943,ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS
949,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS NÃO ESPECIFICADAS ANTERIORMENTE
951,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO
952,REPARAÇÃO E MANUTENÇÃO DE OBJETOS E EQUIPAMENTOS PESSOAIS E DOMÉSTICOS
960,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS
970,SERVIÇOS DOMÉSTICOS
990,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS
